Index,Date,Tenbin,Minute,Hits,Misses
145,2024-05-16,1610,0,2198,0
146,2024-05-16,1610,1,2693,0
147,2024-05-16,1610,2,3153,0
148,2024-05-16,1610,3,2457,0
149,2024-05-16,1610,4,2440,0
150,2024-05-16,1610,5,2446,0
151,2024-05-16,1610,6,2562,0
152,2024-05-16,1610,7,2479,0
153,2024-05-16,1610,8,2261,0
154,2024-05-16,1610,9,2631,0
155,2024-05-16,1620,0,2779,0
156,2024-05-16,1620,1,2594,0
157,2024-05-16,1620,2,2471,0
158,2024-05-16,1620,3,2825,0
159,2024-05-16,1620,4,2456,0
160,2024-05-16,1620,5,2408,0
161,2024-05-16,1620,6,2236,0
162,2024-05-16,1620,7,2486,0
163,2024-05-16,1620,8,2322,0
164,2024-05-16,1620,9,2859,0
165,2024-05-16,1630,0,2898,0
166,2024-05-16,1630,1,2620,0
167,2024-05-16,1630,2,2314,0
168,2024-05-16,1630,3,2611,0
169,2024-05-16,1630,4,2505,0
170,2024-05-16,1630,5,2741,0
171,2024-05-16,1630,6,2449,0
172,2024-05-16,1630,7,2805,0
173,2024-05-16,1630,8,2716,0
174,2024-05-16,1630,9,2353,0
175,2024-05-16,1640,0,2665,0
176,2024-05-16,1640,1,2451,0
177,2024-05-16,1640,2,2395,0
178,2024-05-16,1640,3,2428,0
179,2024-05-16,1640,4,2252,0
180,2024-05-16,1640,5,2145,0
181,2024-05-16,1640,6,2376,0
182,2024-05-16,1640,7,2410,0
183,2024-05-16,1640,8,2231,0
184,2024-05-16,1640,9,2209,0
185,2024-05-16,1650,0,2027,0
186,2024-05-16,1650,1,2045,0
187,2024-05-16,1650,2,1993,0
188,2024-05-16,1650,3,2035,0
189,2024-05-16,1650,4,2000,0
190,2024-05-16,1650,5,1902,0
191,2024-05-16,1650,6,1818,0
192,2024-05-16,1650,7,1852,0
193,2024-05-16,1650,8,1886,0
194,2024-05-16,1650,9,1823,0
195,2024-05-16,1700,0,1967,0
196,2024-05-16,1700,1,2106,0
197,2024-05-16,1700,2,1912,0
198,2024-05-16,1700,3,1929,0
199,2024-05-16,1700,4,1966,0
200,2024-05-16,1700,5,2016,0
201,2024-05-16,1700,6,1898,0
202,2024-05-16,1700,7,2056,0
203,2024-05-16,1700,8,2036,0
204,2024-05-16,1700,9,2052,0
205,2024-05-16,1710,0,2194,0
206,2024-05-16,1710,1,2263,0
207,2024-05-16,1710,2,2167,0
208,2024-05-16,1710,3,2285,0
209,2024-05-16,1710,4,2013,0
210,2024-05-16,1710,5,2015,0
211,2024-05-16,1710,6,1949,0
212,2024-05-16,1710,7,1926,0
213,2024-05-16,1710,8,1999,0
214,2024-05-16,1710,9,1944,0
215,2024-05-16,1720,0,1873,0
216,2024-05-16,1720,1,1872,0
217,2024-05-16,1720,2,1848,0
218,2024-05-16,1720,3,1793,0
219,2024-05-16,1720,4,1794,0
220,2024-05-16,1720,5,1835,0
221,2024-05-16,1720,6,1853,0
222,2024-05-16,1720,7,1730,0
223,2024-05-16,1720,8,1638,0
224,2024-05-16,1720,9,1583,0
225,2024-05-16,1730,0,1774,0
