,Date,Tenbin,Minute,Hits,Misses
6,2024-05-19,0220,6,3362,0
7,2024-05-19,0220,7,3817,0
8,2024-05-19,0220,8,3473,0
9,2024-05-19,0220,9,3345,0
0,2024-05-19,0230,0,4075,0
1,2024-05-19,0230,1,3434,0
2,2024-05-19,0230,2,3397,0
3,2024-05-19,0230,3,3499,0
4,2024-05-19,0230,4,3486,0
5,2024-05-19,0230,5,3250,0
6,2024-05-19,0230,6,3416,0
7,2024-05-19,0230,7,3641,0
8,2024-05-19,0230,8,4147,0
9,2024-05-19,0230,9,3613,0
0,2024-05-19,0240,0,3234,0
1,2024-05-19,0240,1,3665,0
2,2024-05-19,0240,2,3537,0
3,2024-05-19,0240,3,3794,0
4,2024-05-19,0240,4,3316,0
5,2024-05-19,0240,5,3390,0
6,2024-05-19,0240,6,3903,0
7,2024-05-19,0240,7,3329,0
8,2024-05-19,0240,8,3352,0
9,2024-05-19,0240,9,3415,0
0,2024-05-19,0250,0,3332,0
1,2024-05-19,0250,1,3181,0
2,2024-05-19,0250,2,3343,0
3,2024-05-19,0250,3,3332,0
4,2024-05-19,0250,4,3507,0
5,2024-05-19,0250,5,3234,0
6,2024-05-19,0250,6,3282,0
7,2024-05-19,0250,7,3386,0
8,2024-05-19,0250,8,3319,0
9,2024-05-19,0250,9,3377,0
0,2024-05-19,0300,0,3256,0
1,2024-05-19,0300,1,3562,0
2,2024-05-19,0300,2,3266,0
3,2024-05-19,0300,3,3383,0
4,2024-05-19,0300,4,3254,0
5,2024-05-19,0300,5,3645,0
6,2024-05-19,0300,6,3188,0
7,2024-05-19,0300,7,3198,0
8,2024-05-19,0300,8,3119,0
9,2024-05-19,0300,9,3146,0
0,2024-05-19,0310,0,3140,0
1,2024-05-19,0310,1,3206,0
2,2024-05-19,0310,2,3352,0
3,2024-05-19,0310,3,3182,0
4,2024-05-19,0310,4,3184,0
5,2024-05-19,0310,5,3117,0
6,2024-05-19,0310,6,3262,0
7,2024-05-19,0310,7,3473,0
8,2024-05-19,0310,8,3251,0
9,2024-05-19,0310,9,3246,0
0,2024-05-19,0320,0,3282,0
1,2024-05-19,0320,1,3133,0
2,2024-05-19,0320,2,3022,0
3,2024-05-19,0320,3,3071,0
4,2024-05-19,0320,4,2984,0
5,2024-05-19,0320,5,2945,0
6,2024-05-19,0320,6,2999,0
7,2024-05-19,0320,7,2926,0
8,2024-05-19,0320,8,2861,0
9,2024-05-19,0320,9,2958,0
0,2024-05-19,0330,0,2904,0
1,2024-05-19,0330,1,2902,0
2,2024-05-19,0330,2,3067,0
3,2024-05-19,0330,3,2893,0
4,2024-05-19,0330,4,3051,0
5,2024-05-19,0330,5,2850,0
6,2024-05-19,0330,6,2755,0
7,2024-05-19,0330,7,3102,0
8,2024-05-19,0330,8,2866,0
9,2024-05-19,0330,9,2832,0
0,2024-05-19,0340,0,2748,0
1,2024-05-19,0340,1,3006,0
2,2024-05-19,0340,2,2750,0
3,2024-05-19,0340,3,2701,0
4,2024-05-19,0340,4,2804,0
5,2024-05-19,0340,5,2787,0
6,2024-05-19,0340,6,2958,0
7,2024-05-19,0340,7,2929,0
8,2024-05-19,0340,8,2980,0
9,2024-05-19,0340,9,3017,0
0,2024-05-19,0350,0,2918,0
1,2024-05-19,0350,1,2763,0
2,2024-05-19,0350,2,2667,0
3,2024-05-19,0350,3,2755,0
4,2024-05-19,0350,4,2854,0
5,2024-05-19,0350,5,3138,0
6,2024-05-19,0350,6,2694,0
7,2024-05-19,0350,7,2853,0
8,2024-05-19,0350,8,2746,0
9,2024-05-19,0350,9,2683,0
0,2024-05-19,0400,0,2987,0
1,2024-05-19,0400,1,2964,0
2,2024-05-19,0400,2,3144,0
3,2024-05-19,0400,3,2887,0
4,2024-05-19,0400,4,3218,0
5,2024-05-19,0400,5,3080,0
6,2024-05-19,0400,6,3115,0
7,2024-05-19,0400,7,3137,0
8,2024-05-19,0400,8,3013,0
9,2024-05-19,0400,9,3096,0
0,2024-05-19,0410,0,2900,0
1,2024-05-19,0410,1,2958,0
2,2024-05-19,0410,2,2963,0
3,2024-05-19,0410,3,2739,0
4,2024-05-19,0410,4,2770,0
5,2024-05-19,0410,5,2876,0
6,2024-05-19,0410,6,2809,0
7,2024-05-19,0410,7,3023,0
8,2024-05-19,0410,8,3027,0
9,2024-05-19,0410,9,2892,0
0,2024-05-19,0420,0,2660,0
1,2024-05-19,0420,1,2549,0
2,2024-05-19,0420,2,2276,0
3,2024-05-19,0420,3,2178,0
4,2024-05-19,0420,4,2179,0
5,2024-05-19,0420,5,2535,0
6,2024-05-19,0420,6,2469,0
7,2024-05-19,0420,7,2517,0
8,2024-05-19,0420,8,2512,0
9,2024-05-19,0420,9,2642,0
0,2024-05-19,0430,0,2597,0
1,2024-05-19,0430,1,2722,0
2,2024-05-19,0430,2,2408,0
3,2024-05-19,0430,3,2361,0
4,2024-05-19,0430,4,2465,0
5,2024-05-19,0430,5,2565,0
6,2024-05-19,0430,6,2145,0
7,2024-05-19,0430,7,2175,0
8,2024-05-19,0430,8,2123,0
9,2024-05-19,0430,9,3077,0
0,2024-05-19,0440,0,1953,0
1,2024-05-19,0440,1,2025,0
2,2024-05-19,0440,2,2016,0
3,2024-05-19,0440,3,1997,0
4,2024-05-19,0440,4,1999,0
5,2024-05-19,0440,5,1863,0
6,2024-05-19,0440,6,1843,0
7,2024-05-19,0440,7,1654,0
8,2024-05-19,0440,8,1831,0
9,2024-05-19,0440,9,1661,0
0,2024-05-19,0450,0,1839,0
1,2024-05-19,0450,1,1835,0
2,2024-05-19,0450,2,1880,0
3,2024-05-19,0450,3,1990,0
4,2024-05-19,0450,4,1950,0
5,2024-05-19,0450,5,2731,0
6,2024-05-19,0450,6,1963,0
7,2024-05-19,0450,7,2134,0
8,2024-05-19,0450,8,1891,0
9,2024-05-19,0450,9,1796,0
0,2024-05-19,0500,0,1939,0
1,2024-05-19,0500,1,1895,0
2,2024-05-19,0500,2,2015,0
3,2024-05-19,0500,3,2051,0
4,2024-05-19,0500,4,2016,0
5,2024-05-19,0500,5,2053,0
6,2024-05-19,0500,6,2034,0
7,2024-05-19,0500,7,2179,0
8,2024-05-19,0500,8,2031,0
9,2024-05-19,0500,9,2189,0
0,2024-05-19,0510,0,2165,0
1,2024-05-19,0510,1,2265,0
2,2024-05-19,0510,2,2098,0
3,2024-05-19,0510,3,2024,0
4,2024-05-19,0510,4,1924,0
5,2024-05-19,0510,5,2104,0
6,2024-05-19,0510,6,2157,0
7,2024-05-19,0510,7,2045,0
8,2024-05-19,0510,8,2047,0
9,2024-05-19,0510,9,1961,0
0,2024-05-19,0520,0,2612,0
1,2024-05-19,0520,1,2170,0
2,2024-05-19,0520,2,2295,0
3,2024-05-19,0520,3,2276,0
4,2024-05-19,0520,4,2324,0
5,2024-05-19,0520,5,2318,0
6,2024-05-19,0520,6,2287,0
7,2024-05-19,0520,7,2420,0
8,2024-05-19,0520,8,2685,0
9,2024-05-19,0520,9,2789,0
0,2024-05-19,0530,0,2592,0
1,2024-05-19,0530,1,2706,0
2,2024-05-19,0530,2,3058,0
3,2024-05-19,0530,3,2621,0
4,2024-05-19,0530,4,2696,0
5,2024-05-19,0530,5,2887,0
6,2024-05-19,0530,6,4090,0
7,2024-05-19,0530,7,3939,0
8,2024-05-19,0530,8,3201,0
9,2024-05-19,0530,9,4179,0
0,2024-05-19,0540,0,4240,0
1,2024-05-19,0540,1,3713,0
2,2024-05-19,0540,2,4564,0
3,2024-05-19,0540,3,4183,0
4,2024-05-19,0540,4,5396,0
5,2024-05-19,0540,5,4570,0
6,2024-05-19,0540,6,3927,0
7,2024-05-19,0540,7,4004,0
8,2024-05-19,0540,8,3749,0
9,2024-05-19,0540,9,4282,0
0,2024-05-19,0550,0,3822,0
1,2024-05-19,0550,1,4801,0
2,2024-05-19,0550,2,4262,0
3,2024-05-19,0550,3,5127,0
4,2024-05-19,0550,4,3943,0
5,2024-05-19,0550,5,5151,0
6,2024-05-19,0550,6,4890,0
7,2024-05-19,0550,7,4023,0
8,2024-05-19,0550,8,4023,0
9,2024-05-19,0550,9,4359,0
0,2024-05-19,0600,0,4304,0
1,2024-05-19,0600,1,4382,0
2,2024-05-19,0600,2,4781,0
3,2024-05-19,0600,3,4097,0
4,2024-05-19,0600,4,4740,0
5,2024-05-19,0600,5,4942,0
6,2024-05-19,0600,6,4986,0
7,2024-05-19,0600,7,4473,0
8,2024-05-19,0600,8,5162,0
9,2024-05-19,0600,9,5039,0
0,2024-05-19,0620,0,43192,1983260
1,2024-05-19,0620,1,45154,1625307
2,2024-05-19,0620,2,45733,748032
3,2024-05-19,0620,3,44406,1035896
4,2024-05-19,0620,4,45605,452484
5,2024-05-19,0620,5,42404,1906731
6,2024-05-19,0620,6,47652,1008293
7,2024-05-19,0620,7,43788,1911640
8,2024-05-19,0620,8,45597,740670
9,2024-05-19,0620,9,45135,692745
0,2024-05-19,0630,0,44764,880073
1,2024-05-19,0630,1,44366,1786771
2,2024-05-19,0630,2,46097,1063350
3,2024-05-19,0630,3,44027,1842381
4,2024-05-19,0630,4,44611,1028162
5,2024-05-19,0630,5,45110,1424714
6,2024-05-19,0630,6,44652,866917
7,2024-05-19,0630,7,45092,515330
8,2024-05-19,0630,8,34204,69233
9,2024-05-19,0630,9,24365,0
0,2024-05-19,0650,0,25691,159764
1,2024-05-19,0650,1,3927,0
2,2024-05-19,0650,2,3503,0
3,2024-05-19,0650,3,4205,0
4,2024-05-19,0650,4,3957,0
5,2024-05-19,0650,5,5911,0
6,2024-05-19,0650,6,4448,0
7,2024-05-19,0650,7,4090,0
8,2024-05-19,0650,8,4052,0
9,2024-05-19,0650,9,36142,2658
0,2024-05-19,0710,0,33389,20728
1,2024-05-19,0710,1,3542,0
2,2024-05-19,0710,2,4528,0
3,2024-05-19,0710,3,3493,0
4,2024-05-19,0710,4,3529,0
5,2024-05-19,0710,5,3324,0
6,2024-05-19,0710,6,3418,0
7,2024-05-19,0710,7,5148,0
8,2024-05-19,0710,8,3148,0
9,2024-05-19,0710,9,2879,0
0,2024-05-19,0720,0,2584,0
1,2024-05-19,0720,1,2433,0
2,2024-05-19,0720,2,2810,0
3,2024-05-19,0720,3,2806,0
4,2024-05-19,0720,4,2504,0
5,2024-05-19,0720,5,2601,0
6,2024-05-19,0720,6,2833,0
7,2024-05-19,0720,7,3270,0
8,2024-05-19,0720,8,3380,0
9,2024-05-19,0720,9,2695,0
0,2024-05-19,0730,0,3234,0
