,Date,Tenbin,Minute,Hits,Misses
0,2024-05-17,1500,0,6972,0
1,2024-05-17,1500,1,29819,1732
2,2024-05-17,1500,2,16128,186360
3,2024-05-17,1500,3,5636,0
4,2024-05-17,1500,4,38033,32243
5,2024-05-17,1500,5,42594,7084
6,2024-05-17,1500,6,5190,0
7,2024-05-17,1500,7,23882,0
8,2024-05-17,1500,8,39610,97510
9,2024-05-17,1500,9,39985,23555
0,2024-05-17,1510,0,24999,0
1,2024-05-17,1510,1,39800,145185
2,2024-05-17,1510,2,18458,0
3,2024-05-17,1510,3,3634,0
4,2024-05-17,1510,4,8561,0
5,2024-05-17,1510,5,17206,0
6,2024-05-17,1510,6,40961,64088
7,2024-05-17,1510,7,43895,273112
8,2024-05-17,1510,8,39734,82896
9,2024-05-17,1510,9,38770,649964
0,2024-05-17,1520,0,38706,1251284
1,2024-05-17,1520,1,40063,1481977
2,2024-05-17,1520,2,40111,451602
3,2024-05-17,1520,3,14911,192944
4,2024-05-17,1520,4,2285,0
5,2024-05-17,1520,5,596,0
6,2024-05-17,1520,6,570,0
7,2024-05-17,1520,7,461,0
8,2024-05-17,1520,8,2327,0
9,2024-05-17,1520,9,1356,0
0,2024-05-17,1530,0,501,0
1,2024-05-17,1530,1,439,0
2,2024-05-17,1530,2,459,0
3,2024-05-17,1530,3,626,0
4,2024-05-17,1530,4,690,0
5,2024-05-17,1530,5,512,0
6,2024-05-17,1530,6,578,0
7,2024-05-17,1530,7,452,0
8,2024-05-17,1530,8,448,0
9,2024-05-17,1530,9,472,0
0,2024-05-17,1540,0,442,0
1,2024-05-17,1540,1,565,0
2,2024-05-17,1540,2,426,0
3,2024-05-17,1540,3,422,0
4,2024-05-17,1540,4,524,0
5,2024-05-17,1540,5,459,0
6,2024-05-17,1540,6,454,0
7,2024-05-17,1540,7,376,0
8,2024-05-17,1540,8,375,0
9,2024-05-17,1540,9,464,0
0,2024-05-17,1550,0,467,0
1,2024-05-17,1550,1,586,0
2,2024-05-17,1550,2,617,0
3,2024-05-17,1550,3,441,0
4,2024-05-17,1550,4,396,0
5,2024-05-17,1550,5,420,0
6,2024-05-17,1550,6,419,0
7,2024-05-17,1550,7,542,0
8,2024-05-17,1550,8,1845,0
9,2024-05-17,1550,9,35026,30969
0,2024-05-17,1600,0,36655,700267
1,2024-05-17,1600,1,29786,21607
2,2024-05-17,1600,2,36765,17021
3,2024-05-17,1600,3,44568,748516
4,2024-05-17,1600,4,47859,75255
5,2024-05-17,1600,5,29550,414588
6,2024-05-17,1600,6,51106,30462
7,2024-05-17,1600,7,39302,1145260
8,2024-05-17,1600,8,32747,17356
9,2024-05-17,1600,9,47743,634873
0,2024-05-17,1610,0,40626,208159
1,2024-05-17,1610,1,32199,4592
2,2024-05-17,1610,2,44416,158142
3,2024-05-17,1610,3,38965,687846
4,2024-05-17,1610,4,39670,502770
5,2024-05-17,1610,5,40488,87181
6,2024-05-17,1610,6,40393,421087
7,2024-05-17,1610,7,40200,658432
8,2024-05-17,1610,8,37796,1365671
9,2024-05-17,1610,9,40225,1002232
0,2024-05-17,1620,0,36782,128401
1,2024-05-17,1620,1,44009,690078
2,2024-05-17,1620,2,38060,1707037
3,2024-05-17,1620,3,39346,1252450
4,2024-05-17,1620,4,37352,389913
5,2024-05-17,1620,5,40902,192120
6,2024-05-17,1620,6,24395,0
7,2024-05-17,1620,7,34369,54744
8,2024-05-17,1620,8,4594,0
9,2024-05-17,1620,9,5076,0
0,2024-05-17,1630,0,731,0
1,2024-05-17,1630,1,751,0
2,2024-05-17,1630,2,1735,0
3,2024-05-17,1630,3,1072,0
4,2024-05-17,1630,4,582,0
5,2024-05-17,1630,5,508,0
6,2024-05-17,1630,6,1759,0
7,2024-05-17,1630,7,876,0
8,2024-05-17,1630,8,1098,0
9,2024-05-17,1630,9,766,0
0,2024-05-17,1640,0,1298,0
1,2024-05-17,1640,1,970,0
2,2024-05-17,1640,2,1845,0
3,2024-05-17,1640,3,2226,0
4,2024-05-17,1640,4,2081,0
5,2024-05-17,1640,5,2229,0
6,2024-05-17,1640,6,1876,0
7,2024-05-17,1640,7,2150,0
8,2024-05-17,1640,8,1720,0
9,2024-05-17,1640,9,1616,0
0,2024-05-17,1650,0,1961,0
1,2024-05-17,1650,1,1666,0
2,2024-05-17,1650,2,2181,0
3,2024-05-17,1650,3,1929,0
4,2024-05-17,1650,4,2389,0
5,2024-05-17,1650,5,2917,0
6,2024-05-17,1650,6,2824,0
7,2024-05-17,1650,7,3051,0
8,2024-05-17,1650,8,2019,0
9,2024-05-17,1650,9,1298,0
0,2024-05-17,1700,0,640,0
1,2024-05-17,1700,1,2575,0
2,2024-05-17,1700,2,2770,0
3,2024-05-17,1700,3,1996,0
4,2024-05-17,1700,4,3531,0
5,2024-05-17,1700,5,3702,0
6,2024-05-17,1700,6,3668,0
7,2024-05-17,1700,7,4327,0
8,2024-05-17,1700,8,3712,0
9,2024-05-17,1700,9,3802,0
0,2024-05-17,1710,0,4156,0
1,2024-05-17,1710,1,3374,0
2,2024-05-17,1710,2,2646,0
3,2024-05-17,1710,3,3470,0
4,2024-05-17,1710,4,3294,0
5,2024-05-17,1710,5,3697,0
6,2024-05-17,1710,6,2543,0
7,2024-05-17,1710,7,3331,0
8,2024-05-17,1710,8,3062,0
9,2024-05-17,1710,9,3638,0
0,2024-05-17,1720,0,3454,0
1,2024-05-17,1720,1,2074,0
2,2024-05-17,1720,2,3534,0
3,2024-05-17,1720,3,3827,0
4,2024-05-17,1720,4,2477,0
5,2024-05-17,1720,5,2460,0
6,2024-05-17,1720,6,1556,0
7,2024-05-17,1720,7,2836,0
8,2024-05-17,1720,8,2954,0
9,2024-05-17,1720,9,3024,0
0,2024-05-17,1730,0,2281,0
1,2024-05-17,1730,1,4540,0
2,2024-05-17,1730,2,2306,0
3,2024-05-17,1730,3,3916,0
4,2024-05-17,1730,4,2328,0
5,2024-05-17,1730,5,3090,0
6,2024-05-17,1730,6,2631,0
7,2024-05-17,1730,7,2226,0
8,2024-05-17,1730,8,1722,0
9,2024-05-17,1730,9,1518,0
0,2024-05-17,1740,0,894,265778
1,2024-05-17,1740,1,1468,0
2,2024-05-17,1740,2,7106,0
3,2024-05-17,1740,3,49605,1301601
4,2024-05-17,1740,4,42702,1313538
5,2024-05-17,1740,5,37203,1757820
6,2024-05-17,1740,6,37347,1861668
7,2024-05-17,1740,7,34659,2142301
8,2024-05-17,1740,8,39993,2584275
9,2024-05-17,1740,9,37402,1924048
0,2024-05-17,1750,0,37283,4363234
1,2024-05-17,1750,1,34759,2917030
2,2024-05-17,1750,2,35024,2681552
3,2024-05-17,1750,3,41001,1826156
4,2024-05-17,1750,4,33144,2470653
5,2024-05-17,1750,5,30937,2860095
6,2024-05-17,1750,6,43461,1741490
7,2024-05-17,1750,7,38392,1385470
8,2024-05-17,1750,8,37644,2234292
9,2024-05-17,1750,9,37339,1779017
0,2024-05-17,1810,0,31906,610
1,2024-05-17,1810,1,10065,0
2,2024-05-17,1810,2,2430,0
3,2024-05-17,1810,3,1698,0
4,2024-05-17,1810,4,2370,0
5,2024-05-17,1810,5,1306,0
6,2024-05-17,1810,6,1371,0
7,2024-05-17,1810,7,2305,0
8,2024-05-17,1810,8,4177,0
9,2024-05-17,1810,9,3590,0
0,2024-05-17,1820,0,3188,0
1,2024-05-17,1820,1,2531,0
2,2024-05-17,1820,2,2260,0
3,2024-05-17,1820,3,2219,0
4,2024-05-17,1820,4,2025,0
5,2024-05-17,1820,5,2384,0
6,2024-05-17,1820,6,1769,0
7,2024-05-17,1820,7,2339,0
8,2024-05-17,1820,8,2245,0
9,2024-05-17,1820,9,2928,0
0,2024-05-17,1830,0,2694,0
1,2024-05-17,1830,1,3196,0
2,2024-05-17,1830,2,3069,0
3,2024-05-17,1830,3,3380,0
4,2024-05-17,1830,4,3741,0
5,2024-05-17,1830,5,4009,0
6,2024-05-17,1830,6,3092,0
7,2024-05-17,1830,7,3695,0
8,2024-05-17,1830,8,3420,0
9,2024-05-17,1830,9,2814,0
0,2024-05-17,1840,0,5712,0
1,2024-05-17,1840,1,3327,0
2,2024-05-17,1840,2,3773,0
3,2024-05-17,1840,3,3850,0
4,2024-05-17,1840,4,3808,0
5,2024-05-17,1840,5,4025,0
6,2024-05-17,1840,6,4667,0
7,2024-05-17,1840,7,4045,0
8,2024-05-17,1840,8,3877,0
9,2024-05-17,1840,9,3916,0
0,2024-05-17,1850,0,2935,689000
1,2024-05-17,1850,1,27344,51085
2,2024-05-17,1850,2,37012,1697238
3,2024-05-17,1850,3,40548,802896
4,2024-05-17,1850,4,39493,1567501
5,2024-05-17,1850,5,37980,2033069
6,2024-05-17,1850,6,35581,1175845
7,2024-05-17,1850,7,12685,545
8,2024-05-17,1850,8,1700,0
9,2024-05-17,1850,9,1152,0
0,2024-05-17,1900,0,876,0
1,2024-05-17,1900,1,2807,0
2,2024-05-17,1900,2,4403,0
3,2024-05-17,1900,3,3976,0
4,2024-05-17,1900,4,3460,0
5,2024-05-17,1900,5,1565,0
6,2024-05-17,1900,6,1285,0
7,2024-05-17,1900,7,1441,0
8,2024-05-17,1900,8,1432,0
9,2024-05-17,1900,9,2043,0
0,2024-05-17,1910,0,2594,0
1,2024-05-17,1910,1,2406,0
2,2024-05-17,1910,2,2800,0
3,2024-05-17,1910,3,3163,0
4,2024-05-17,1910,4,3078,0
5,2024-05-17,1910,5,2969,0
6,2024-05-17,1910,6,2518,0
7,2024-05-17,1910,7,2704,0
8,2024-05-17,1910,8,3373,0
9,2024-05-17,1910,9,2942,0
0,2024-05-17,1920,0,3546,0
1,2024-05-17,1920,1,4352,0
2,2024-05-17,1920,2,4035,0
3,2024-05-17,1920,3,4248,0
4,2024-05-17,1920,4,4221,0
5,2024-05-17,1920,5,4429,0
6,2024-05-17,1920,6,4890,0
7,2024-05-17,1920,7,4823,0
8,2024-05-17,1920,8,4529,0
9,2024-05-17,1920,9,4592,0
0,2024-05-17,1930,0,4017,413758
1,2024-05-17,1930,1,4750,0
2,2024-05-17,1930,2,3774,0
3,2024-05-17,1930,3,4498,0
4,2024-05-17,1930,4,4202,0
5,2024-05-17,1930,5,4397,0
6,2024-05-17,1930,6,39282,485
7,2024-05-17,1930,7,39960,623671
8,2024-05-17,1930,8,39119,1047322
9,2024-05-17,1930,9,38512,1680816
0,2024-05-17,2000,0,38299,2381203
1,2024-05-17,2000,1,38317,845461
2,2024-05-17,2000,2,39137,1161740
3,2024-05-17,2000,3,15494,5230
4,2024-05-17,2000,4,8237,0
5,2024-05-17,2000,5,2475,0
6,2024-05-17,2000,6,2203,0
7,2024-05-17,2000,7,1199,0
8,2024-05-17,2000,8,2052,0
9,2024-05-17,2000,9,2713,0
0,2024-05-17,2010,0,3090,0
1,2024-05-17,2010,1,2534,0
2,2024-05-17,2010,2,2980,0
3,2024-05-17,2010,3,2584,0
4,2024-05-17,2010,4,2549,0
5,2024-05-17,2010,5,2357,0
6,2024-05-17,2010,6,2649,0
7,2024-05-17,2010,7,2367,0
8,2024-05-17,2010,8,1995,0
9,2024-05-17,2010,9,1696,0
0,2024-05-17,2020,0,1687,0
1,2024-05-17,2020,1,1977,0
2,2024-05-17,2020,2,2033,0
3,2024-05-17,2020,3,1862,0
4,2024-05-17,2020,4,1928,0
5,2024-05-17,2020,5,1670,0
6,2024-05-17,2020,6,1986,0
7,2024-05-17,2020,7,1711,0
8,2024-05-17,2020,8,2371,0
9,2024-05-17,2020,9,3238,0
0,2024-05-17,2030,0,1848,0
1,2024-05-17,2030,1,1619,0
2,2024-05-17,2030,2,1778,0
3,2024-05-17,2030,3,1910,0
4,2024-05-17,2030,4,2279,0
5,2024-05-17,2030,5,1544,0
6,2024-05-17,2030,6,1535,0
7,2024-05-17,2030,7,1610,0
8,2024-05-17,2030,8,1591,0
9,2024-05-17,2030,9,2773,0
0,2024-05-17,2040,0,1614,357208
1,2024-05-17,2040,1,1612,0
2,2024-05-17,2040,2,1290,0
3,2024-05-17,2040,3,1442,0
4,2024-05-17,2040,4,1896,0
5,2024-05-17,2040,5,2204,0
6,2024-05-17,2040,6,55250,749395
7,2024-05-17,2040,7,37823,1911404
8,2024-05-17,2040,8,38842,1514718
9,2024-05-17,2040,9,38400,2042751
0,2024-05-17,2050,0,36117,4870724
1,2024-05-17,2050,1,36032,2347741
2,2024-05-17,2050,2,39354,2320574
3,2024-05-17,2050,3,37841,2123600
4,2024-05-17,2050,4,38784,2101836
5,2024-05-17,2050,5,38092,1997791
6,2024-05-17,2050,6,35578,2481709
7,2024-05-17,2050,7,37720,2845325
8,2024-05-17,2050,8,39536,2291731
9,2024-05-17,2050,9,36315,2269765
0,2024-05-17,2100,0,40055,2482196
1,2024-05-17,2100,1,38412,1691086
2,2024-05-17,2100,2,34528,2463689
3,2024-05-17,2100,3,37712,2282622
4,2024-05-17,2100,4,39214,2530905
