,Date,Tenbin,Minute,Hits,Misses
6,2024-05-18,0340,6,2197,0
7,2024-05-18,0340,7,2027,0
8,2024-05-18,0340,8,2242,0
9,2024-05-18,0340,9,2101,0
0,2024-05-18,0350,0,2325,0
1,2024-05-18,0350,1,2253,0
2,2024-05-18,0350,2,2122,0
3,2024-05-18,0350,3,2189,0
4,2024-05-18,0350,4,2050,0
5,2024-05-18,0350,5,2656,0
6,2024-05-18,0350,6,1948,0
7,2024-05-18,0350,7,2181,0
8,2024-05-18,0350,8,2143,0
9,2024-05-18,0350,9,2181,0
0,2024-05-18,0410,0,51908,306268
1,2024-05-18,0410,1,24444,71668
2,2024-05-18,0410,2,38087,0
3,2024-05-18,0410,3,5257,0
4,2024-05-18,0410,4,29264,0
5,2024-05-18,0410,5,21948,0
6,2024-05-18,0410,6,44614,2168
7,2024-05-18,0410,7,29835,28323
8,2024-05-18,0410,8,9044,0
9,2024-05-18,0410,9,6211,0
0,2024-05-18,0420,0,3602,224212
1,2024-05-18,0420,1,28475,0
2,2024-05-18,0420,2,46515,1931240
3,2024-05-18,0420,3,44199,1668701
4,2024-05-18,0420,4,44828,979051
5,2024-05-18,0420,5,45314,676985
6,2024-05-18,0420,6,45949,100717
7,2024-05-18,0420,7,8839,26498
8,2024-05-18,0420,8,2681,0
9,2024-05-18,0420,9,1800,0
0,2024-05-18,0430,0,2053,0
1,2024-05-18,0430,1,1971,0
2,2024-05-18,0430,2,1905,0
3,2024-05-18,0430,3,1927,0
4,2024-05-18,0430,4,1832,0
5,2024-05-18,0430,5,1843,0
6,2024-05-18,0430,6,1744,0
7,2024-05-18,0430,7,1632,0
8,2024-05-18,0430,8,1785,0
9,2024-05-18,0430,9,1741,0
0,2024-05-18,0440,0,1763,0
1,2024-05-18,0440,1,1728,0
2,2024-05-18,0440,2,1953,0
3,2024-05-18,0440,3,1775,0
4,2024-05-18,0440,4,1813,0
5,2024-05-18,0440,5,1851,0
6,2024-05-18,0440,6,1934,0
7,2024-05-18,0440,7,1999,0
8,2024-05-18,0440,8,2739,0
9,2024-05-18,0440,9,1899,0
0,2024-05-18,0520,0,45054,1956715
1,2024-05-18,0520,1,39298,2683904
2,2024-05-18,0520,2,45849,1525316
3,2024-05-18,0520,3,29071,351518
4,2024-05-18,0520,4,10378,0
5,2024-05-18,0520,5,1741,0
6,2024-05-18,0520,6,1357,0
7,2024-05-18,0520,7,2714,0
8,2024-05-18,0520,8,4151,0
9,2024-05-18,0520,9,6694,0
0,2024-05-18,0530,0,6229,0
1,2024-05-18,0530,1,3356,0
2,2024-05-18,0530,2,2542,0
3,2024-05-18,0530,3,1788,0
4,2024-05-18,0530,4,1339,0
5,2024-05-18,0530,5,1865,0
6,2024-05-18,0530,6,1931,0
7,2024-05-18,0530,7,1289,0
8,2024-05-18,0530,8,1721,0
9,2024-05-18,0530,9,1447,0
0,2024-05-18,0540,0,1402,0
1,2024-05-18,0540,1,1424,0
2,2024-05-18,0540,2,1395,0
3,2024-05-18,0540,3,1097,0
4,2024-05-18,0540,4,1241,0
5,2024-05-18,0540,5,1052,0
6,2024-05-18,0540,6,1135,0
7,2024-05-18,0540,7,2608,0
8,2024-05-18,0540,8,1771,0
9,2024-05-18,0540,9,1538,0
0,2024-05-18,0610,0,46824,607813
1,2024-05-18,0610,1,40328,737073
2,2024-05-18,0610,2,38108,595461
3,2024-05-18,0610,3,13855,0
4,2024-05-18,0610,4,2565,0
5,2024-05-18,0610,5,2828,0
6,2024-05-18,0610,6,1518,0
7,2024-05-18,0610,7,2085,0
8,2024-05-18,0610,8,2485,0
9,2024-05-18,0610,9,1948,0
0,2024-05-18,0620,0,1648,0
1,2024-05-18,0620,1,1272,0
2,2024-05-18,0620,2,1651,0
3,2024-05-18,0620,3,1121,0
4,2024-05-18,0620,4,1101,0
5,2024-05-18,0620,5,1195,0
6,2024-05-18,0620,6,1117,0
7,2024-05-18,0620,7,2273,0
8,2024-05-18,0620,8,1046,0
9,2024-05-18,0620,9,1125,0
0,2024-05-18,0630,0,1110,0
1,2024-05-18,0630,1,1558,0
2,2024-05-18,0630,2,1099,0
3,2024-05-18,0630,3,1131,0
4,2024-05-18,0630,4,1212,0
5,2024-05-18,0630,5,1264,0
6,2024-05-18,0630,6,1192,0
7,2024-05-18,0630,7,1134,0
8,2024-05-18,0630,8,1177,0
9,2024-05-18,0630,9,1141,0
0,2024-05-18,0640,0,1229,0
1,2024-05-18,0640,1,1494,0
2,2024-05-18,0640,2,1955,0
3,2024-05-18,0640,3,1386,0
4,2024-05-18,0640,4,1422,0
5,2024-05-18,0640,5,6436,0
6,2024-05-18,0640,6,1159,0
7,2024-05-18,0640,7,1172,0
8,2024-05-18,0640,8,1110,0
9,2024-05-18,0640,9,1104,0
0,2024-05-18,0650,0,1262,0
1,2024-05-18,0650,1,1269,0
2,2024-05-18,0650,2,1324,0
3,2024-05-18,0650,3,1329,0
4,2024-05-18,0650,4,1220,0
5,2024-05-18,0650,5,1095,0
6,2024-05-18,0650,6,1164,0
7,2024-05-18,0650,7,1128,0
8,2024-05-18,0650,8,1016,0
9,2024-05-18,0650,9,1128,0
0,2024-05-18,0700,0,1216,0
1,2024-05-18,0700,1,1142,0
2,2024-05-18,0700,2,1092,0
3,2024-05-18,0700,3,1077,0
4,2024-05-18,0700,4,1048,0
5,2024-05-18,0700,5,1123,0
6,2024-05-18,0700,6,1035,0
7,2024-05-18,0700,7,1036,0
8,2024-05-18,0700,8,1369,0
9,2024-05-18,0700,9,2176,0
0,2024-05-18,0710,0,1114,0
1,2024-05-18,0710,1,1269,0
2,2024-05-18,0710,2,1105,0
3,2024-05-18,0710,3,1699,0
4,2024-05-18,0710,4,1084,0
5,2024-05-18,0710,5,1010,0
6,2024-05-18,0710,6,1074,0
7,2024-05-18,0710,7,1037,0
8,2024-05-18,0710,8,1105,0
9,2024-05-18,0710,9,1139,0
0,2024-05-18,0720,0,1129,0
1,2024-05-18,0720,1,3775,0
2,2024-05-18,0720,2,1100,0
3,2024-05-18,0720,3,1115,0
4,2024-05-18,0720,4,1167,0
5,2024-05-18,0720,5,7826,0
6,2024-05-18,0720,6,1478,0
7,2024-05-18,0720,7,1774,0
8,2024-05-18,0720,8,3204,0
9,2024-05-18,0720,9,1265,0
0,2024-05-18,0730,0,1070,0
1,2024-05-18,0730,1,5205,0
2,2024-05-18,0730,2,5713,0
3,2024-05-18,0730,3,1930,0
4,2024-05-18,0730,4,1715,0
5,2024-05-18,0730,5,2078,0
6,2024-05-18,0730,6,1755,0
7,2024-05-18,0730,7,2139,0
8,2024-05-18,0730,8,2328,0
9,2024-05-18,0730,9,6210,0
0,2024-05-18,0800,0,43149,2245594
1,2024-05-18,0800,1,39856,1657553
2,2024-05-18,0800,2,47008,614467
3,2024-05-18,0800,3,46164,308880
4,2024-05-18,0800,4,6835,2986
5,2024-05-18,0800,5,1752,0
6,2024-05-18,0800,6,4532,0
7,2024-05-18,0800,7,1591,0
8,2024-05-18,0800,8,1679,0
9,2024-05-18,0800,9,1716,0
0,2024-05-18,0810,0,1536,0
1,2024-05-18,0810,1,1565,0
2,2024-05-18,0810,2,1681,0
3,2024-05-18,0810,3,2495,0
4,2024-05-18,0810,4,2399,0
5,2024-05-18,0810,5,3636,0
6,2024-05-18,0810,6,2469,0
7,2024-05-18,0810,7,2028,0
8,2024-05-18,0810,8,1695,0
9,2024-05-18,0810,9,2527,0
0,2024-05-18,0820,0,2915,0
1,2024-05-18,0820,1,1661,0
2,2024-05-18,0820,2,1957,0
3,2024-05-18,0820,3,1979,0
4,2024-05-18,0820,4,2159,0
5,2024-05-18,0820,5,2389,0
6,2024-05-18,0820,6,1823,0
7,2024-05-18,0820,7,1575,0
8,2024-05-18,0820,8,1497,0
9,2024-05-18,0820,9,1657,0
0,2024-05-18,0830,0,1484,0
1,2024-05-18,0830,1,1389,0
2,2024-05-18,0830,2,1513,0
3,2024-05-18,0830,3,2878,0
4,2024-05-18,0830,4,1564,0
5,2024-05-18,0830,5,1763,0
6,2024-05-18,0830,6,1787,0
7,2024-05-18,0830,7,1295,0
8,2024-05-18,0830,8,1407,0
9,2024-05-18,0830,9,1232,0
0,2024-05-18,0840,0,2712,0
1,2024-05-18,0840,1,1513,0
2,2024-05-18,0840,2,1478,0
3,2024-05-18,0840,3,1447,0
4,2024-05-18,0840,4,1508,0
5,2024-05-18,0840,5,1679,0
6,2024-05-18,0840,6,1720,0
7,2024-05-18,0840,7,1998,0
8,2024-05-18,0840,8,2672,0
9,2024-05-18,0840,9,1911,0
0,2024-05-18,0920,0,43578,1955285
1,2024-05-18,0920,1,39182,871377
2,2024-05-18,0920,2,49750,77967
3,2024-05-18,0920,3,9138,13104
4,2024-05-18,0920,4,4036,0
5,2024-05-18,0920,5,4823,0
6,2024-05-18,0920,6,4218,0
7,2024-05-18,0920,7,3050,0
8,2024-05-18,0920,8,3070,0
9,2024-05-18,0920,9,3709,0
0,2024-05-18,0930,0,3200,0
1,2024-05-18,0930,1,5528,0
2,2024-05-18,0930,2,3763,0
3,2024-05-18,0930,3,3390,0
4,2024-05-18,0930,4,3183,0
5,2024-05-18,0930,5,3122,0
6,2024-05-18,0930,6,3636,0
7,2024-05-18,0930,7,3055,0
8,2024-05-18,0930,8,2710,0
9,2024-05-18,0930,9,2727,0
0,2024-05-18,0940,0,2634,0
1,2024-05-18,0940,1,2706,0
2,2024-05-18,0940,2,2604,0
3,2024-05-18,0940,3,2896,0
4,2024-05-18,0940,4,2562,0
5,2024-05-18,0940,5,2570,0
6,2024-05-18,0940,6,2458,0
7,2024-05-18,0940,7,2744,0
8,2024-05-18,0940,8,2548,0
9,2024-05-18,0940,9,2668,0
0,2024-05-18,0950,0,2526,0
1,2024-05-18,0950,1,2926,0
2,2024-05-18,0950,2,2699,0
3,2024-05-18,0950,3,2759,0
4,2024-05-18,0950,4,3123,0
5,2024-05-18,0950,5,2882,0
6,2024-05-18,0950,6,2639,0
7,2024-05-18,0950,7,2958,0
8,2024-05-18,0950,8,7862,0
9,2024-05-18,0950,9,42454,8560
0,2024-05-18,1010,0,45294,482340
1,2024-05-18,1010,1,38782,1439096
2,2024-05-18,1010,2,46236,1203183
3,2024-05-18,1010,3,44078,1085473
4,2024-05-18,1010,4,43652,1254294
5,2024-05-18,1010,5,44833,1669951
6,2024-05-18,1010,6,45145,590514
7,2024-05-18,1010,7,44125,785096
8,2024-05-18,1010,8,45019,114903
9,2024-05-18,1010,9,5649,0
0,2024-05-18,1020,0,3280,0
1,2024-05-18,1020,1,2312,0
2,2024-05-18,1020,2,4833,0
3,2024-05-18,1020,3,8063,0
4,2024-05-18,1020,4,1746,0
5,2024-05-18,1020,5,2693,0
6,2024-05-18,1020,6,2803,0
7,2024-05-18,1020,7,2039,0
8,2024-05-18,1020,8,1919,0
9,2024-05-18,1020,9,1981,0
0,2024-05-18,1030,0,1761,0
1,2024-05-18,1030,1,1698,0
2,2024-05-18,1030,2,1714,0
3,2024-05-18,1030,3,1811,0
4,2024-05-18,1030,4,1893,0
5,2024-05-18,1030,5,2050,0
6,2024-05-18,1030,6,1928,0
7,2024-05-18,1030,7,1885,0
8,2024-05-18,1030,8,1689,0
9,2024-05-18,1030,9,1890,0
0,2024-05-18,1040,0,1887,0
1,2024-05-18,1040,1,1980,0
2,2024-05-18,1040,2,1973,0
3,2024-05-18,1040,3,1754,0
4,2024-05-18,1040,4,1712,0
5,2024-05-18,1040,5,1969,0
6,2024-05-18,1040,6,1868,0
7,2024-05-18,1040,7,1864,0
8,2024-05-18,1040,8,2302,0
9,2024-05-18,1040,9,2302,0
0,2024-05-18,1100,0,45299,467938
1,2024-05-18,1100,1,46223,159157
2,2024-05-18,1100,2,31795,0
3,2024-05-18,1100,3,15616,0
4,2024-05-18,1100,4,12115,0
5,2024-05-18,1100,5,3164,0
6,2024-05-18,1100,6,3384,0
7,2024-05-18,1100,7,3779,0
8,2024-05-18,1100,8,3911,0
9,2024-05-18,1100,9,2794,0
0,2024-05-18,1110,0,4053,0
1,2024-05-18,1110,1,3420,0
2,2024-05-18,1110,2,3113,0
3,2024-05-18,1110,3,2816,0
4,2024-05-18,1110,4,2425,0
5,2024-05-18,1110,5,2199,0
6,2024-05-18,1110,6,1764,0
7,2024-05-18,1110,7,2150,0
8,2024-05-18,1110,8,3387,0
9,2024-05-18,1110,9,1889,0
0,2024-05-18,1120,0,1736,0
1,2024-05-18,1120,1,1458,0
2,2024-05-18,1120,2,2933,0
3,2024-05-18,1120,3,1637,0
4,2024-05-18,1120,4,1546,0
5,2024-05-18,1120,5,1469,0
6,2024-05-18,1120,6,1697,0
7,2024-05-18,1120,7,2040,0
8,2024-05-18,1120,8,2906,0
9,2024-05-18,1120,9,39004,43646
0,2024-05-18,1130,0,44817,649241
1,2024-05-18,1130,1,45408,792920
2,2024-05-18,1130,2,29564,649778
3,2024-05-18,1130,3,3278,0
4,2024-05-18,1130,4,2058,0
5,2024-05-18,1130,5,1666,0
6,2024-05-18,1130,6,1481,0
7,2024-05-18,1130,7,2148,0
8,2024-05-18,1130,8,2137,0
9,2024-05-18,1130,9,2259,0
0,2024-05-18,1140,0,1940,0
1,2024-05-18,1140,1,1829,0
2,2024-05-18,1140,2,1633,0
3,2024-05-18,1140,3,1729,0
4,2024-05-18,1140,4,1718,0
5,2024-05-18,1140,5,1604,0
6,2024-05-18,1140,6,1573,0
7,2024-05-18,1140,7,1603,0
8,2024-05-18,1140,8,1824,0
9,2024-05-18,1140,9,1590,0
0,2024-05-18,1150,0,1588,0
1,2024-05-18,1150,1,1716,0
2,2024-05-18,1150,2,1697,0
3,2024-05-18,1150,3,1566,0
4,2024-05-18,1150,4,1649,0
5,2024-05-18,1150,5,1799,0
6,2024-05-18,1150,6,1745,0
7,2024-05-18,1150,7,1759,0
8,2024-05-18,1150,8,1782,0
9,2024-05-18,1150,9,1781,0
0,2024-05-18,1200,0,1666,0
1,2024-05-18,1200,1,1748,0
2,2024-05-18,1200,2,1940,0
3,2024-05-18,1200,3,1857,0
4,2024-05-18,1200,4,1932,0
5,2024-05-18,1200,5,1983,0
6,2024-05-18,1200,6,2367,0
7,2024-05-18,1200,7,3660,0
8,2024-05-18,1200,8,4070,0
9,2024-05-18,1200,9,3943,0
0,2024-05-18,1210,0,4512,0
1,2024-05-18,1210,1,3642,0
2,2024-05-18,1210,2,4204,0
3,2024-05-18,1210,3,3531,0
4,2024-05-18,1210,4,3383,0
5,2024-05-18,1210,5,3189,0
6,2024-05-18,1210,6,2993,0
7,2024-05-18,1210,7,3206,0
8,2024-05-18,1210,8,2574,0
9,2024-05-18,1210,9,3481,0
0,2024-05-18,1220,0,2934,0
1,2024-05-18,1220,1,2219,0
2,2024-05-18,1220,2,1877,0
3,2024-05-18,1220,3,1795,0
4,2024-05-18,1220,4,1893,0
5,2024-05-18,1220,5,3614,0
6,2024-05-18,1220,6,4515,0
7,2024-05-18,1220,7,1944,0
8,2024-05-18,1220,8,2193,0
9,2024-05-18,1220,9,2533,0
0,2024-05-18,1240,0,43633,1350377
1,2024-05-18,1240,1,40987,2256438
2,2024-05-18,1240,2,44884,1730875
3,2024-05-18,1240,3,16465,0
4,2024-05-18,1240,4,2477,0
5,2024-05-18,1240,5,2505,0
6,2024-05-18,1240,6,2833,0
7,2024-05-18,1240,7,2008,0
8,2024-05-18,1240,8,1926,0
9,2024-05-18,1240,9,1684,0
0,2024-05-18,1250,0,1683,0
1,2024-05-18,1250,1,1518,0
2,2024-05-18,1250,2,1433,0
3,2024-05-18,1250,3,2186,0
4,2024-05-18,1250,4,1677,0
5,2024-05-18,1250,5,1577,0
6,2024-05-18,1250,6,1381,0
7,2024-05-18,1250,7,1631,0
8,2024-05-18,1250,8,1598,0
9,2024-05-18,1250,9,1531,0
0,2024-05-18,1300,0,1482,0
1,2024-05-18,1300,1,1679,0
2,2024-05-18,1300,2,1721,0
3,2024-05-18,1300,3,1613,0
4,2024-05-18,1300,4,1594,0
5,2024-05-18,1300,5,1503,0
6,2024-05-18,1300,6,1686,0
7,2024-05-18,1300,7,1690,0
8,2024-05-18,1300,8,1673,0
9,2024-05-18,1300,9,1549,0
0,2024-05-18,1320,0,46990,243453
1,2024-05-18,1320,1,46058,341728
2,2024-05-18,1320,2,40568,300901
3,2024-05-18,1320,3,50504,309163
4,2024-05-18,1320,4,39402,1720426
5,2024-05-18,1320,5,44722,1177562
6,2024-05-18,1320,6,45285,509502
7,2024-05-18,1320,7,45183,588292
8,2024-05-18,1320,8,26250,31452
9,2024-05-18,1320,9,2897,0
0,2024-05-18,1330,0,1761,0
1,2024-05-18,1330,1,2225,0
2,2024-05-18,1330,2,2843,0
3,2024-05-18,1330,3,2608,0
4,2024-05-18,1330,4,2315,0
5,2024-05-18,1330,5,2679,0
6,2024-05-18,1330,6,3565,0
7,2024-05-18,1330,7,3797,0
8,2024-05-18,1330,8,3554,0
9,2024-05-18,1330,9,3071,0
0,2024-05-18,1340,0,2755,0
1,2024-05-18,1340,1,2736,0
2,2024-05-18,1340,2,2802,0
3,2024-05-18,1340,3,3102,0
4,2024-05-18,1340,4,1971,0
5,2024-05-18,1340,5,1629,0
6,2024-05-18,1340,6,1713,0
7,2024-05-18,1340,7,1722,0
8,2024-05-18,1340,8,1679,0
9,2024-05-18,1340,9,1704,0
0,2024-05-18,1350,0,1723,0
1,2024-05-18,1350,1,1673,0
2,2024-05-18,1350,2,1769,0
3,2024-05-18,1350,3,1644,0
4,2024-05-18,1350,4,1642,0
5,2024-05-18,1350,5,1777,0
6,2024-05-18,1350,6,1549,0
7,2024-05-18,1350,7,1756,0
8,2024-05-18,1350,8,1721,0
9,2024-05-18,1350,9,1681,0
0,2024-05-18,1400,0,1719,0
1,2024-05-18,1400,1,1734,0
2,2024-05-18,1400,2,1859,0
3,2024-05-18,1400,3,2641,0
4,2024-05-18,1400,4,2649,0
5,2024-05-18,1400,5,2551,0
6,2024-05-18,1400,6,2589,0
7,2024-05-18,1400,7,3510,0
8,2024-05-18,1400,8,3462,0
9,2024-05-18,1400,9,3295,0
0,2024-05-18,1410,0,2711,0
1,2024-05-18,1410,1,2761,0
2,2024-05-18,1410,2,2886,0
3,2024-05-18,1410,3,2907,0
4,2024-05-18,1410,4,2952,0
5,2024-05-18,1410,5,3422,0
6,2024-05-18,1410,6,3417,0
7,2024-05-18,1410,7,3268,0
8,2024-05-18,1410,8,3352,0
9,2024-05-18,1410,9,3474,0
0,2024-05-18,1420,0,3195,154188
1,2024-05-18,1420,1,3549,0
2,2024-05-18,1420,2,2733,0
3,2024-05-18,1420,3,2793,0
4,2024-05-18,1420,4,57440,779919
5,2024-05-18,1420,5,41941,2000218
6,2024-05-18,1420,6,41151,2474192
7,2024-05-18,1420,7,47061,1081534
8,2024-05-18,1420,8,44261,134847
9,2024-05-18,1420,9,16781,0
0,2024-05-18,1430,0,7378,2949
1,2024-05-18,1430,1,5746,0
2,2024-05-18,1430,2,53357,655666
3,2024-05-18,1430,3,42911,1505645
4,2024-05-18,1430,4,44954,1469536
5,2024-05-18,1430,5,44521,1913661
6,2024-05-18,1430,6,45134,1011622
7,2024-05-18,1430,7,36580,364635
8,2024-05-18,1430,8,2678,0
9,2024-05-18,1430,9,1917,0
0,2024-05-18,1440,0,2035,0
1,2024-05-18,1440,1,2892,0
2,2024-05-18,1440,2,2839,0
3,2024-05-18,1440,3,2956,0
4,2024-05-18,1440,4,2826,0
5,2024-05-18,1440,5,2824,0
6,2024-05-18,1440,6,4745,0
7,2024-05-18,1440,7,2552,0
8,2024-05-18,1440,8,2344,0
9,2024-05-18,1440,9,2296,0
0,2024-05-18,1450,0,2201,0
1,2024-05-18,1450,1,2279,0
2,2024-05-18,1450,2,2137,0
3,2024-05-18,1450,3,1871,0
4,2024-05-18,1450,4,1884,0
5,2024-05-18,1450,5,1963,0
6,2024-05-18,1450,6,2195,0
7,2024-05-18,1450,7,2003,0
8,2024-05-18,1450,8,2187,0
9,2024-05-18,1450,9,2277,0
0,2024-05-18,1500,0,2462,0
1,2024-05-18,1500,1,2251,0
2,2024-05-18,1500,2,2380,0
3,2024-05-18,1500,3,2530,0
4,2024-05-18,1500,4,2499,0
5,2024-05-18,1500,5,2426,0
6,2024-05-18,1500,6,3053,0
7,2024-05-18,1500,7,2328,0
8,2024-05-18,1500,8,2389,0
9,2024-05-18,1500,9,2277,0
0,2024-05-18,1520,0,42161,354650
1,2024-05-18,1520,1,47591,778389
2,2024-05-18,1520,2,43990,276488
3,2024-05-18,1520,3,22242,308282
4,2024-05-18,1520,4,3431,0
5,2024-05-18,1520,5,2430,0
6,2024-05-18,1520,6,2218,0
7,2024-05-18,1520,7,2620,0
8,2024-05-18,1520,8,2439,0
9,2024-05-18,1520,9,2279,0
0,2024-05-18,1530,0,2591,0
1,2024-05-18,1530,1,2458,0
2,2024-05-18,1530,2,2846,0
3,2024-05-18,1530,3,2600,0
4,2024-05-18,1530,4,2662,0
5,2024-05-18,1530,5,2846,0
6,2024-05-18,1530,6,2436,0
7,2024-05-18,1530,7,2129,0
8,2024-05-18,1530,8,2483,0
9,2024-05-18,1530,9,2316,0
0,2024-05-18,1540,0,2582,0
1,2024-05-18,1540,1,2568,0
2,2024-05-18,1540,2,2272,0
3,2024-05-18,1540,3,2722,0
4,2024-05-18,1540,4,2435,0
5,2024-05-18,1540,5,2514,0
6,2024-05-18,1540,6,3008,0
7,2024-05-18,1540,7,2682,0
8,2024-05-18,1540,8,2734,0
9,2024-05-18,1540,9,2678,0
0,2024-05-18,1550,0,2634,0
1,2024-05-18,1550,1,2657,0
2,2024-05-18,1550,2,2640,0
3,2024-05-18,1550,3,2758,0
4,2024-05-18,1550,4,3208,0
5,2024-05-18,1550,5,36549,375024
6,2024-05-18,1550,6,50056,642199
