,Date,Tenbin,Minute,Hits,Misses
0,2024-05-18,0020,0,29371,128945
1,2024-05-18,0020,1,23604,9454
2,2024-05-18,0020,2,2048,0
3,2024-05-18,0020,3,1998,0
4,2024-05-18,0020,4,2252,0
5,2024-05-18,0020,5,3249,0
6,2024-05-18,0020,6,2477,0
7,2024-05-18,0020,7,2515,0
8,2024-05-18,0020,8,2570,0
9,2024-05-18,0020,9,2775,0
0,2024-05-18,0030,0,3161,0
1,2024-05-18,0030,1,3152,0
2,2024-05-18,0030,2,3292,0
3,2024-05-18,0030,3,3551,0
4,2024-05-18,0030,4,3873,0
5,2024-05-18,0030,5,3427,0
6,2024-05-18,0030,6,3602,0
7,2024-05-18,0030,7,3622,0
8,2024-05-18,0030,8,3359,0
9,2024-05-18,0030,9,3200,0
0,2024-05-18,0040,0,3151,0
1,2024-05-18,0040,1,3197,0
2,2024-05-18,0040,2,3382,0
3,2024-05-18,0040,3,3021,0
4,2024-05-18,0040,4,2986,0
5,2024-05-18,0040,5,2906,0
6,2024-05-18,0040,6,2884,0
7,2024-05-18,0040,7,3455,0
8,2024-05-18,0040,8,3145,0
9,2024-05-18,0040,9,2777,0
0,2024-05-18,0050,0,2782,0
1,2024-05-18,0050,1,2690,0
2,2024-05-18,0050,2,2906,0
3,2024-05-18,0050,3,2854,0
4,2024-05-18,0050,4,18859,0
5,2024-05-18,0050,5,61745,618761
6,2024-05-18,0050,6,40078,156832
7,2024-05-18,0050,7,35557,102621
8,2024-05-18,0050,8,10929,0
9,2024-05-18,0050,9,32354,21213
0,2024-05-18,0100,0,4427,0
1,2024-05-18,0100,1,4093,0
2,2024-05-18,0100,2,4402,0
3,2024-05-18,0100,3,29088,0
4,2024-05-18,0100,4,46875,987560
5,2024-05-18,0100,5,15252,57431
6,2024-05-18,0100,6,4320,0
7,2024-05-18,0100,7,4127,0
8,2024-05-18,0100,8,3643,0
9,2024-05-18,0100,9,3547,0
0,2024-05-18,0110,0,3393,0
1,2024-05-18,0110,1,3460,0
2,2024-05-18,0110,2,3659,0
3,2024-05-18,0110,3,5832,0
4,2024-05-18,0110,4,3527,0
5,2024-05-18,0110,5,3295,0
6,2024-05-18,0110,6,3106,0
7,2024-05-18,0110,7,2991,0
8,2024-05-18,0110,8,3046,0
9,2024-05-18,0110,9,3270,0
0,2024-05-18,0120,0,2459,0
1,2024-05-18,0120,1,2761,0
2,2024-05-18,0120,2,2548,0
3,2024-05-18,0120,3,2609,0
4,2024-05-18,0120,4,2577,0
5,2024-05-18,0120,5,2386,0
6,2024-05-18,0120,6,2357,0
7,2024-05-18,0120,7,2335,0
8,2024-05-18,0120,8,2948,0
9,2024-05-18,0120,9,2407,0
0,2024-05-18,0150,0,45233,1191516
1,2024-05-18,0150,1,45930,410788
2,2024-05-18,0150,2,41989,1208208
3,2024-05-18,0150,3,46137,902542
4,2024-05-18,0150,4,43465,1126789
5,2024-05-18,0150,5,7155,0
6,2024-05-18,0150,6,1620,0
7,2024-05-18,0150,7,1446,0
8,2024-05-18,0150,8,1490,0
9,2024-05-18,0150,9,1459,0
0,2024-05-18,0200,0,1945,0
1,2024-05-18,0200,1,1580,0
2,2024-05-18,0200,2,1448,0
3,2024-05-18,0200,3,1527,0
4,2024-05-18,0200,4,1338,0
5,2024-05-18,0200,5,1590,0
6,2024-05-18,0200,6,1352,0
7,2024-05-18,0200,7,1692,0
8,2024-05-18,0200,8,1509,0
9,2024-05-18,0200,9,1821,0
0,2024-05-18,0210,0,2368,0
1,2024-05-18,0210,1,1926,0
2,2024-05-18,0210,2,1813,0
3,2024-05-18,0210,3,2780,0
4,2024-05-18,0210,4,2006,0
5,2024-05-18,0210,5,4611,0
6,2024-05-18,0210,6,2455,0
7,2024-05-18,0210,7,2962,0
8,2024-05-18,0210,8,4108,0
9,2024-05-18,0210,9,3151,0
0,2024-05-18,0220,0,3400,0
1,2024-05-18,0220,1,3819,0
2,2024-05-18,0220,2,3675,0
3,2024-05-18,0220,3,3915,0
4,2024-05-18,0220,4,4653,0
5,2024-05-18,0220,5,40033,285522
6,2024-05-18,0220,6,44116,1819689
7,2024-05-18,0220,7,43450,1275700
8,2024-05-18,0220,8,42856,137760
9,2024-05-18,0220,9,4041,0
0,2024-05-18,0240,0,44165,1186050
1,2024-05-18,0240,1,15692,38857
2,2024-05-18,0240,2,3636,0
3,2024-05-18,0240,3,3115,0
4,2024-05-18,0240,4,3653,0
5,2024-05-18,0240,5,3787,0
6,2024-05-18,0240,6,4117,0
7,2024-05-18,0240,7,3150,0
8,2024-05-18,0240,8,2884,0
9,2024-05-18,0240,9,2741,0
0,2024-05-18,0250,0,2668,0
1,2024-05-18,0250,1,2377,0
2,2024-05-18,0250,2,2554,0
3,2024-05-18,0250,3,2385,0
4,2024-05-18,0250,4,2313,0
5,2024-05-18,0250,5,2586,0
6,2024-05-18,0250,6,2464,0
7,2024-05-18,0250,7,2200,0
8,2024-05-18,0250,8,2266,0
9,2024-05-18,0250,9,1883,0
0,2024-05-18,0300,0,2139,0
1,2024-05-18,0300,1,1909,0
2,2024-05-18,0300,2,2045,0
3,2024-05-18,0300,3,2197,0
4,2024-05-18,0300,4,2041,0
5,2024-05-18,0300,5,2104,0
6,2024-05-18,0300,6,2062,0
7,2024-05-18,0300,7,1935,0
8,2024-05-18,0300,8,1972,0
9,2024-05-18,0300,9,2162,0
0,2024-05-18,0330,0,41472,555356
1,2024-05-18,0330,1,34136,18942
2,2024-05-18,0330,2,3156,0
3,2024-05-18,0330,3,2271,0
4,2024-05-18,0330,4,2511,0
5,2024-05-18,0330,5,3379,0
6,2024-05-18,0330,6,2586,0
7,2024-05-18,0330,7,2442,0
8,2024-05-18,0330,8,2426,0
9,2024-05-18,0330,9,2421,0
0,2024-05-18,0340,0,2730,0
1,2024-05-18,0340,1,2188,0
2,2024-05-18,0340,2,2899,0
3,2024-05-18,0340,3,2139,0
4,2024-05-18,0340,4,2763,0
5,2024-05-18,0340,5,2167,0
